X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4	Vyaw	Vpitch	Vroll
-0,09907638	0,5192446	0,09327082	-132,7017	-3,11287	-4,475298	0,3022222	0,3484801	0,3022222	0,2559644	0,3022222	77	74	70	74	5,33030303	7,138757576	-5,755212121
-0,0990621	0,5196111	0,09296111	-132,597	-2,981549	-4,650712	0,3066667	0,3524063	0,3066667	0,260927	0,3066667	78	74	70	74	3,745454545	5,465272727	-8,534484848
-0,09950083	0,5195566	0,09326478	-132,5781	-2,932516	-4,756936	0,3066667	0,3461899	0,3066667	0,2671434	0,3066667	77	74	71	74	0,266666667	6,94130303	-3,481242424
-0,09925936	0,5190736	0,09304398	-132,5882	-2,752486	-4,765593	0,3066667	0,3351505	0,3066667	0,2781828	0,3066667	76	74	72	74	1,087878788	-5,136272727	0,695636364
-0,09941316	0,5197337	0,09361573	-132,5422	-3,102013	-4,73398	0,3066667	0,3167613	0,3066667	0,2965721	0,3066667	75	74	73	74	-2,366666667	-16,68036364	1,141606061
-0,09958956	0,5196812	0,09363721	-132,6663	-3,302938	-4,72792	0,3111111	0,3193087	0,3111111	0,3029135	0,3111111	75	74	74	74	-7,954545455	-5,556515152	3,468333333
-0,09931484	0,5195864	0,09385756	-132,8047	-3,285378	-4,619525	0,3066667	0,30804	0,3066667	0,3052934	0,3066667	74	74	74	74	-6,681818182	-0,557939394	7,397212121
-0,09946648	0,5194243	0,09389625	-132,8868	-3,32135	-4,483812	0,3066667	0,2945506	0,3066667	0,3187827	0,3066667	73	74	75	74	-4,16969697	2,107969697	4,582727273
-0,09911666	0,5195969	0,09403121	-132,9423	-3,215815	-4,468295	0,3111111	0,3242672	0,3111111	0,297955	0,3111111	75	74	73	74	-1,327272727	1,284939394	0,814212121
-0,09934546	0,5194965	0,09375559	-132,9306	-3,278947	-4,456943	0,3066667	0,3255924	0,3066667	0,2877409	0,3066667	76	74	73	74	3,833333333	6,656272727	3,200424242
-0,09914713	0,5194666	0,09387118	-132,8158	-2,996158	-4,362681	0,3111111	0,3248056	0,3111111	0,2974167	0,3111111	75	74	73	74	5,090909091	6,185090909	5,341181818
-0,09961232	0,5199352	0,09375502	-132,7626	-3,074839	-4,280684	0,3066667	0,3265446	0,3066667	0,2867888	0,3066667	76	74	72	74	4,039393939	2,100060606	3,955151515
-0,09990168	0,5200047	0,0935006	-132,6825	-2,926856	-4,232161	0,3066667	0,319202	0,3066667	0,2941313	0,3066667	75	74	73	74	3,281818182	25,41633333	26,54372727
-0,09928538	0,5206916	0,09391899	-132,6543	-2,2361	-3,404741	0,3111111	0,3190396	0,3111111	0,3031827	0,3111111	75	74	74	74	-4,178787879	11,06257576	21,18984848
-0,100108	0,52034	0,09418987	-132,8204	-2,561791	-3,532896	0,3066667	0,3400449	0,3066667	0,2732884	0,3066667	77	74	71	74	-7,363636364	-23,49790909	-10,7170303
-0,0997793	0,5204086	0,09370925	-132,8973	-3,011531	-3,758403	0,3066667	0,3343888	0,3066667	0,2789446	0,3066667	76	74	72	74	-2,978787879	-16,45460606	0,894181818
-0,09949301	0,5207153	0,09418219	-132,9187	-3,104793	-3,503388	0,3066667	0,3203483	0,3066667	0,2929851	0,3066667	75	74	73	74	-12,25151515	4,335242424	27,88090909
-0,09962717	0,5206071	0,09508773	-133,3016	-2,868468	-2,838333	0,3066667	0,3564456	0,3066667	0,2568877	0,3066667	78	74	70	74	-2,354545455	14,38315152	19,72172727
-0,09852727	0,5208308	0,09493364	-132,9964	-2,630149	-2,852571	0,3111111	0,3175985	0,3111111	0,3046237	0,3111111	75	74	74	74	7,584848485	-12,26839394	-16,73154545
-0,09879091	0,5202358	0,09471124	-133,0513	-3,273325	-3,390474	0,3111111	0,3255856	0,3111111	0,2966367	0,3111111	76	74	73	74	-0,578787879	-15,87524242	-21,28778788
-0,09850872	0,5199347	0,09475882	-133,0155	-3,154032	-3,555068	0,3111111	0,3350722	0,3111111	0,28715	0,3111111	76	74	72	74	7,072727273	2,069515152	-5,566181818
-0,09889662	0,5200438	0,09506693	-132,8179	-3,205031	-3,574158	0,3111111	0,3177432	0,3111111	0,3044791	0,3111111	75	74	74	74	7,675757576	1,162757576	-9,241636364
-0,09903551	0,5199813	0,09508363	-132,7622	-3,115661	-3,860042	0,3111111	0,3206729	0,3111111	0,3015494	0,3111111	75	74	74	74	4,615151515	2,928727273	-8,212242424
-0,09930781	0,5200271	0,09526614	-132,6656	-3,108383	-3,845162	0,3111111	0,3124753	0,3111111	0,309747	0,3111111	74	74	74	74	1,712121212	3,563545455	-0,227060606
-0,09899408	0,5199427	0,09495614	-132,7057	-2,998064	-3,867535	0,3111111	0,2973471	0,3111111	0,3248751	0,3111111	73	74	75	74	-1,103030303	5,116181818	8,917545455
-0,09880683	0,5198896	0,09460307	-132,702	-2,939549	-3,550883	0,3111111	0,2876755	0,3111111	0,3345467	0,3111111	73	74	76	74	7,86969697	6,975212121	23,11415152
-0,09822442	0,519964	0,09409305	-132,446	-2,767882	-3,104768	0,3111111	0,2543797	0,3111111	0,3678426	0,3111111	70	74	79	74	6,239393939	3,34630303	28,171
-0,09810314	0,5203742	0,09392245	-132,4961	-2,829121	-2,62124	0,3111111	0,2144444	0,3111111	0,4077778	0,3111111	67	74	82	74	-1,745454545	6,890090909	40,53072727
-0,09678338	0,5201012	0,0933178	-132,5036	-2,540509	-1,767254	0,3111111	0,251981	0,3111111	0,3702413	0,3111111	70	74	79	74	2,712121212	5,922878788	51,92182424
-0,09567849	0,520766	0,0922997	-132,4066	-2,633666	-0,9078198	0,3111111	0,2337584	0,3111111	0,3884639	0,3111111	68	74	81	74	-1,184848485	-9,141424242	69,09959091
