X	Y	Z	Yaw	Pitch	Roll	VYaw	VPitch	VRoll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
-0,2578942	0,4291235	0,319332	36,01323	5,650147	1,802403	-20,41757	6,273942	-53,60309	0,2488889	0,7221804	0,8476592	0	0	107	117	50	50
-0,2551683	0,4309026	0,3181071	34,02893	6,375732	-4,785538	-39,26694	14,76077	-116,8927	0,2488889	1	1	0	0	130	130	50	50
-0,252331	0,4330477	0,31653	31,88583	6,931671	-11,63254	-58,57767	23,4993	-176,2656	0,2488889	1	1	0	0	130	130	50	50
-0,2480125	0,4346765	0,3137768	29,75734	6,633265	-17,4543	-75,80151	25,82568	-221,2836	0,2488889	1	1	0	0	130	130	50	50
-0,2438696	0,4355924	0,3110642	27,83099	5,911997	-21,79094	-90,46455	24,29122	-252,23	0,2444444	1	1	0	0	130	130	50	50
-0,2396177	0,4356556	0,3082911	26,59735	5,42622	-24,68819	-97,5086	22,22538	-266,6426	0,2444444	1	1	0	0	130	130	50	50
-0,2361761	0,4348873	0,306385	26,2022	5,01187	-25,56007	-95,40542	18,44333	-263,9674	0,2488889	1	1	0	0	130	130	50	50
-0,2335356	0,4330625	0,3052601	26,915	5,126284	-24,50875	-84,61763	15,56846	-243,5238	0,2488889	1	1	0	0	130	130	50	50
-0,2321585	0,4304147	0,3058645	28,69522	5,668033	-22,15155	-64,686	12,42431	-207,4837	0,2444444	1	1	0	0	130	130	50	50
-0,2309216	0,426832	0,3070405	31,21086	6,823837	-17,96444	-39,93586	13,89527	-154,0255	0,2488889	1	1	0	0	130	130	50	50
-0,2310866	0,4227067	0,3095823	33,89925	8,0422	-12,28302	-12,68383	14,35229	-84,51239	0,2311111	0,9327121	1	0	0	124	130	50	50
-0,2309543	0,4175685	0,3123696	36,74527	8,897007	-5,291595	16,29798	15,12762	-3,036341	0,2044444	0,08353165	0,386084	0,3253572	0,02280483	56	80	76	51
-0,2318264	0,4126227	0,3156192	39,35109	9,265528	2,062093	44,79144	14,00311	82,16762	0,1822222	0	0	1	0,8638672	50	50	130	119
-0,2331647	0,4077213	0,3190904	41,72288	9,150006	9,237803	71,79309	15,10042	160,1523	0,16	0	0	1	1	50	50	130	130
-0,2351416	0,4031856	0,3220552	43,67739	8,719629	15,82305	95,07818	16,84576	225,6835	0,1066667	0	0	1	1	50	50	130	130
-0,2369499	0,3993923	0,325033	45,34126	7,744057	21,0521	112,4632	13,90699	274,4412	0	0	0	1	1	0	0	0	0
-0,2385914	0,3971788	0,3271812	46,23988	7,143077	23,98193	120,2258	12,78722	297,2514	0	0	0	1	1	0	0	0	0
-0,2394937	0,3961908	0,3288401	46,48885	6,907373	24,18859	117,4428	10,68651	292,1835	0	0	0	1	1	0	0	0	0
-0,2396452	0,3963404	0,328925	45,58293	7,588573	21,5908	101,326	11,52322	262,4536	0	0	0	1	1	0	0	0	0
-0,2384657	0,3974381	0,3283488	43,61297	8,862718	16,72787	74,41252	12,23326	208,1535	0	0	0	1	1	0	0	0	0
-0,2363248	0,399078	0,3270979	40,93398	10,21152	10,31952	42,20827	13,01592	135,615	0	0	0	1	1	0	0	0	0
-0,2334185	0,4004713	0,32492	37,65075	11,48655	3,22613	5,432866	15,5372	51,10625	0	0	0	0,6664345	0,3556905	0	0	0	0
-0,2301979	0,4013059	0,3229333	34,96515	12,05996	-3,667561	-26,31559	16,76657	-34,37786	0	0,1761129	0,5114443	0	0	0	0	0	0
-0,2280335	0,4006062	0,321567	33,80217	11,97303	-6,437339	-47,52415	16,9381	-94,05067	0	0,7711257	1	0	0	0	0	0	0
-0,2246624	0,3995378	0,3194169	32,25085	12,28074	-11,02997	-68,55908	21,36662	-161,1178	0	1	1	0	0	0	0	0	0
-0,2225416	0,396475	0,3183477	31,85671	12,2167	-13,62419	-80,90714	26,83581	-208,0574	0	1	1	0	0	0	0	0	0
-0,2219215	0,3930697	0,3181572	32,15998	12,63611	-14,2288	-84,4792	32,95814	-229,2639	0	1	1	0	0	0	0	0	0
-0,222031	0,3883801	0,3185953	33,2056	13,20854	-13,31744	-79,69933	37,80691	-225,0358	0	1	1	0	0	0	0	0	0
-0,2236128	0,3833016	0,3197007	34,48705	13,8894	-10,4333	-66,57519	37,80489	-192,1442	0	1	1	0	0	0	0	0	0
-0,2261148	0,3772285	0,3212825	35,77581	14,31774	-6,640721	-47,02286	32,73009	-140,2113	0	1	1	0	0	0	0	0	0
-0,2292613	0,371945	0,3233474	36,96152	14,92901	-2,914807	-23,8347	28,30483	-79,40583	0	0,5110099	1	0	0	0	0	0	0
-0,2318964	0,3662664	0,3252171	38,07351	15,15676	0,3849959	2,536579	22,02126	-17,04677	0	0	0,3906803	0,04974489	0	0	0	0	0
-0,2339705	0,3613839	0,3264102	38,73059	15,35633	2,542238	22,59263	19,7782	37,25872	0	0	0	0,5703692	0,1748053	0	0	0	0
-0,235119	0,3562399	0,3268389	39,15814	15,11105	4,184463	32,13577	18,8281	63,73068	0	0	0	0,8255879	0,4490258	0	0	0	0
