X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
0,01897566	0,5785419	-0,1281555	51,41485	3,052056	-0,2115516	0	0	0,03263608	0,02146765	0	0	0	0	0
0,01909115	0,5785332	-0,1281342	51,39424	3,074055	-0,2388732	0	0	0,03312928	0,01571665	0	0	0	0	0
0,01915433	0,5785789	-0,1281299	51,39548	3,083516	-0,2660713	0	0	0,03349587	0,01427722	0	0	0	0	0
0,01916093	0,5786494	-0,128112	51,43123	3,077486	-0,3076749	0	0	0,03385161	0,0202883	0	0	0	0	0
0,01896067	0,578683	-0,1281571	51,43517	3,084272	-0,2843576	0	0	0,0336863	0,01915517	0	0	0	0	0
0,01909805	0,5788774	-0,1281034	51,4599	3,032853	-0,2272666	0	0	0,0326012	0,02470092	0	0	0	0	0
0,01883339	0,5789011	-0,1281416	51,49225	2,979826	-0,1767733	0	0	0,03156599	0,03496014	0	0	0	0	0
0,01873421	0,5789561	-0,1280923	51,46529	2,927206	-0,1139069	0	0	0,03041113	0,02832754	0	0	0	0	0
0,01870113	0,5790126	-0,1280232	51,43821	2,920475	-0,106865	0	0	0,0302734	0,02582623	0	0	0	0	0
0,01879054	0,5790485	-0,1279476	51,43275	2,957941	-0,1487741	0	0	0,03106715	0,0269912	0	0	0	0	0
0,01891242	0,579036	-0,127881	51,43783	3,015049	-0,1954097	0	0	0,03210459	0,03095396	0	0	0	0	0
0,01902693	0,5789428	-0,1278794	51,45818	3,061401	-0,2351569	0	0	0,03296558	0,035935	0	0	0	0	0
0,01909161	0,5789859	-0,1278251	51,47148	3,073389	-0,2389998	0	0	0,03312388	0,0374639	0	0	0	0	0
0,01921165	0,5789188	-0,1277862	51,50602	3,097589	-0,251004	0	0	0,03348593	0,03744029	0	0	0	0	0
0,01930726	0,5788316	-0,1277519	51,53984	3,127135	-0,2650081	0	0	0,03392143	0,04118182	0	0	0	0	0
0,01936833	0,5787427	-0,1277255	51,54983	3,141547	-0,2736957	0	0	0,03415242	0,03946935	0	0	0	0	0
0,01937947	0,5786217	-0,1276734	51,5556	3,166407	-0,2809493	0	0	0,03447356	0,03645664	0	0	0	0	0
0,01937797	0,578474	-0,1276419	51,54129	3,17964	-0,2544471	0	0	0,03434087	0,03837285	0	0	0	0	0
0,01939275	0,5783326	-0,1275997	51,54408	3,186875	-0,2219357	0	0	0,0340881	0,04235322	0	0	0	0	0
0,01942524	0,5781938	-0,1275777	51,54867	3,1947	-0,1885489	0	0	0,03383249	0,04397155	0	0	0	0	0
0,01960808	0,5780974	-0,1275793	51,51566	3,190868	-0,132365	0	0	0,03323233	0,03992385	0	0	0	0	0
0,01958101	0,5778901	-0,1276864	51,55146	3,19779	-0,1402789	0	0	0,03338069	0,04176832	0	0	0	0	0
0,01964745	0,5777261	-0,1277794	51,53281	3,240625	-0,1467146	0	0	0,0338734	0,03829902	0	0	0	0	0
0,01981516	0,5775953	-0,127881	51,54947	3,279086	-0,187161	0	0	0,03466246	0,03613316	0	0	0	0	0
0,01998499	0,5775036	-0,1279998	51,55564	3,299699	-0,19296	0	0	0,03492659	0,0329639	0	0	0	0	0
0,02016424	0,5774572	-0,128113	51,55638	3,299445	-0,2069925	0	0	0,03506438	0,03171051	0	0	0	0	0
0,0204362	0,5774994	-0,1281797	51,60891	3,283743	-0,2248162	0	0	0,03508559	0,0369865	0	0	0	0	0
0,02060699	0,57754	-0,1282422	51,63766	3,291741	-0,2471146	0	0	0,03538856	0,04200982	0	0	0	0	0
0,02073373	0,5775881	-0,1283298	51,66692	3,308623	-0,2550028	0	0	0,03563626	0,04527754	0	0	0	0	0
0,02094869	0,5776605	-0,1283728	51,67377	3,308594	-0,2273339	0	0	0,03535929	0,04582539	0	0	0	0	0
0,02092437	0,5776367	-0,1285368	51,75309	3,304257	-0,2476589	0	0	0,03551916	0,05905851	0	0	0	0	0
0,02098679	0,5776729	-0,1286577	51,79098	3,298731	-0,2667957	0	0	0,03565527	0,05906182	0	0	0	0	0
0,02104767	0,57771	-0,1287608	51,80598	3,275283	-0,3077572	0	0	0,0358304	0,06245519	0	0	0	0	0
0,02106543	0,5777517	-0,1288203	51,79843	3,274799	-0,3249099	0	0	0,03599709	0,05937432	0	0	0	0	0
0,02106651	0,5778012	-0,128863	51,77713	3,267136	-0,320868	0	0	0,03588004	0,05604085	0	0	0	0	0
0,02105349	0,5778258	-0,1289062	51,77216	3,243214	-0,3043282	0	0	0,03547543	0,05528313	0	0	0	0	0
0,02106704	0,5778114	-0,1289875	51,78405	3,210199	-0,286849	0	0	0,03497048	0,05025031	0	0	0	0	0
0,02107414	0,5778134	-0,1290306	51,78659	3,210344	-0,2882116	0	0	0,03498555	0,04709284	0	0	0	0	0
0,0211236	0,5777409	-0,1291336	51,78967	3,194013	-0,3112202	0	0	0,03505234	0,04355782	0	0	0	0	0
0,02112916	0,5777515	-0,1290719	51,7681	3,198128	-0,3155659	0	0	0,03513694	0,04014518	0	0	0	0	0
0,02114867	0,5777203	-0,1290122	51,72157	3,205086	-0,32273	0	0	0,03527816	0,02504106	0	0	0	0	0
0,02116221	0,5776539	-0,1289503	51,70473	3,205727	-0,3293732	0	0	0,035351	0,01841444	0	0	0	0	0
